osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,length,azimuth,az+
"4853726","5131",motorway_link,,,F,"0","0",F,F,48.211243798682645,251.155411580335766,"244"
"5118825","5115",tertiary,Avenue de Milan,,B,"50","0",F,F,167.279441099924838,45.864592847547797,"36"
"5118826","5114",secondary,Avenue de Rhodanie,,B,"50","0",F,F,119.839221722815395,295.276877059883759,"305"
"5118828","5153",footway,,,B,"0","0",F,F,18.539033181878569,33.088520826254566,"25"
"5118829","5153",footway,Tunnel Ouest Saint-François,,B,"0","-1",F,T,49.416135520389901,65.643051386262968,"57"
"5118830","5114",secondary,Rue du Grand-Chêne,,B,"50","0",F,F,96.786113760698228,94.512667181756939,"97"
"5118831","5114",secondary,,"9",B,"50","0",F,F,118.834151017626468,104.848213178616675,"112"
"5118832","5113",primary,Rue du Grand-Pont,"9",B,"50","1",T,F,120.959483290376994,135.505844979897205,"146"
"5118833","5113",primary,Rue du Grand-Pont,"9",B,"50","0",F,F,73.650786899557431,131.996253691453745,"143"
"5118834","5113",primary,Rue Centrale,"1",B,"50","0",F,F,78.637232339453718,77.915140984964310,"73"
"5118835","5122",residential,Rue Marterey,,B,"30","0",F,F,44.898511324522644,60.860707740203750,"52"
"5118837","5124",pedestrian,Rue Cheneau-de-Bourg,,B,"0","0",F,F,109.739090403291414,180.323554725257679,"181"
"5118838","5113",primary,Rue Saint-Martin,"1",B,"50","0",F,F,311.663217450314221,189.330895980502078,"187"
"5118841","5115",tertiary,Avenue William-Fraisse,,B,"50","0",F,F,133.481363953484276,30.853319177030386,"23"
"5118842","5122",residential,Rue du Simplon,,F,"50","0",F,F,227.632424334594162,102.148388908075987,"108"
"5119052","5115",tertiary,Avenue de Cour,"138",B,"50","0",F,F,397.189612392539232,116.717561294090999,"127"
"5119053","5121",unclassified,Pont Charles-Bessières,,B,"50","0",F,F,34.641268918382302,306.919699967380154,"318"
"5119054","5121",unclassified,Pont Charles-Bessières,,B,"50","0",F,F,31.602932836449888,306.818906559661968,"318"
"5119055","5121",unclassified,Pont Charles-Bessières,,B,"50","2",T,F,83.376764904289843,306.093315294299543,"317"
"5119056","5122",residential,Rue Pierre-Viret,,B,"0","0",F,F,409.082975499828137,152.384220572450630,"161"
"5119057","5153",footway,Escaliers du Marché,,B,"0","0",F,F,1.924115397852022,61.165612334241118,"52"
"5119058","5124",pedestrian,Escaliers du Marché,,B,"0","0",F,F,29.380118361542401,39.266449647049384,"30"
"5119059","5153",footway,Escaliers du Marché,,B,"0","-1",F,T,13.011243978584417,42.446489102202150,"33"
"5119060","5153",footway,Sentier des Colombes,,B,"0","0",F,F,86.349936063837120,175.139907334619352,"177"
"5119061","5141",service,Placette André-Bonnard,,B,"0","0",F,F,23.237845512934086,284.007277591313368,"290"
"5119062","5153",footway,Sentier des Colombes,,B,"0","0",F,F,138.756131462334537,204.506413730107596,"198"
"5119065","5124",pedestrian,Rue du Pont,,B,"0","0",F,F,81.030487967363143,341.393692174014063,"347"
"5119067","5124",pedestrian,Rue Saint-François,,B,"0","0",F,F,99.837267885164835,157.730236127543577,"165"
"5119068","5123",living_street,Place de la Cathédrale,,B,"20","0",F,F,92.640683350332679,233.604896769553136,"224"
"5119069","5155",steps,,,B,"0","0",F,F,14.147453675210283,355.669845747024908,"358"
"5119071","5123",living_street,Rue Cité-Devant,,F,"20","0",F,F,161.761309674423785,23.910916620618803,"18"
"5119077","5122",residential,Avenue de l'Université,,B,"50","0",F,F,95.092335042932675,62.579698214412787,"54"
"5119078","5153",footway,,,B,"0","0",F,F,66.536026222287404,288.168307225908961,"296"
"5119079","5121",unclassified,Place de la Riponne,,F,"50","0",F,F,79.045611818214041,237.644543126138359,"228"
"5119081","5123",living_street,Place du Nord,,B,"20","1",F,F,41.678888786564009,46.294088261885641,"36"
"5119082","5153",footway,,,B,"0","0",F,F,12.850841494553171,129.912261026177958,"141"
"5119083","5114",secondary,Route de Romanel,"134",B,"80","0",F,F,300.192634900559824,162.456859205969920,"168"
"5119084","5115",tertiary,Avenue Alexandre-Vinet,,B,"50","0",F,F,335.689311361577722,122.863770599611030,"134"
"5119085","5122",residential,Rue Pré-du-Marché,,F,"30","0",F,F,79.217886266610464,165.511204091273186,"170"
"5119123","5122",residential,Rue de la Grotte,,F,"30","0",F,F,95.641058138433962,12.631065676148685,"9"
"5119124","5153",footway,,,B,"0","0",F,F,19.701851771002254,355.665591382302352,"358"
"5119125","5124",pedestrian,Rue du Lion-d'Or,,B,"0","0",F,F,92.240112522120342,199.665148284192838,"194"
"5119129","5153",footway,,,B,"0","0",F,F,11.948278022486509,245.797436150899443,"237"
"5119141","5122",residential,Chemin de Primerose,,B,"30","0",F,F,148.006436463522078,141.359820299427895,"152"
