name,classement,address,avis,note,lon,lat,y,x
The Olympic Museum Lausanne,"3","Quai d' Ouchy 1, Lausanne 1006, Suisse","2333",4.500000000000000,6.634068600000000,46.508689500000003,"1151138","2538248"
Espace des Inventions,"27","Vallee de la Jeunesse, Lausanne 1007, Suisse","59",4.000000000000000,6.603745530000000,46.519505250000002,"1152364","2535933"
Esplanade de Montbenon,"12","Allée Ernest Ansermet, Lausanne, Suisse","119",4.500000000000000,6.625968220000000,46.519927690000003,"1152393","2537639"
Palais Rumine,"13","place de la Riponne 6, Lausanne 1005, Suisse","79",4.500000000000000,6.633964600000000,46.523672900000001,"1152803","2538257"
Thai Pavilion,"19","avenue du Chablais 46, Lausanne 1007, Suisse","51",4.500000000000000,6.640913490000000,46.506146440000002,"1150850","2538770"
Parc de Mon Repos,"16","Avenue de Mon-Repos, Lausanne 1005, Suisse","52",4.500000000000000,6.643112900000000,46.519385069999998,"1152320","2538954"
Sauvabelin Forest,"17","Sauvabelin, Route du Signal, Chailly, Lausanne, District de Lausanne, Vaud, 1011, Suisse","124",4.000000000000000,6.638789180000000,46.537343989999997,"1154319","2538642"
Escaliers du Marché,"10","rue Mercerie 1, Lausanne 1003, Suisse","129",4.500000000000000,6.633912920000000,46.522212539999998,"1152641","2538251"
AQUATIS Aquarium-Vivarium Lausanne,"24","Route de Berne 144, Lausanne 1010, Suisse","427",3.500000000000000,6.657235640000000,46.540824600000001,"1154692","2540061"
Fondation de l'Hermitage,"4","route du Signal 2, Lausanne 1018, Suisse","207",4.500000000000000,6.637199620000000,46.528155900000002,"1153299","2538510"
Place de la Palud,"8","Place du palud, Lausanne","188",4.500000000000000,6.633274560000000,46.521765909999999,"1152592","2538202"
Sauvabelin Tower,"7","sauvablin tower, 1018 Lausanne","481",4.500000000000000,6.638542410000000,46.535244290000001,"1154086","2538621"
Le Port d'Ouchy,"5","Bord du Lac, Lausanne, Suisse","1080",4.500000000000000,6.624455450000000,46.507150709999998,"1150974","2537508"
Cathédrale de Lausanne,"6","Place de la Cathedrale, Lausanne 1005, Suisse","1703",4.500000000000000,6.634647850000000,46.522640709999997,"1152688","2538308"
Collection de l’art brut,"1","avenue Bergieres 11 av, Lausanne 1004, Suisse","601",4.500000000000000,6.624691490000000,46.527291269999999,"1153213","2537549"
