flickrid,owner_id,title,date_downl,date_shot,gps_bool,farm,server,secret,make,model,foc_mm,azimuth_bo,azimuth,height
23116328113,96818645@N04,,2016-10-06,2015-05-08,"1","1","585",,Apple,iPhone 6,4.200000000000000,"0",193.268156400000009,410.968750000000000
16190689184,112459783@N04,,2016-10-06,2015-03-09,"1","9","8727",,Apple,iPhone 6,4.200000000000000,"0",136.302306399999992,418.600000000000023
21594463858,23182635@N05,AAA  15-07-11 150224 - Le Sorelle Kessler,2016-10-06,2015-07-11,"1","1","675",,Apple,iPhone 6,4.200000000000000,"0",83.547400609999997,374.346875000000011
20563203171,69108079@N07,,2016-10-06,2015-07-31,"1","6","5718",,Apple,iPhone 5s,4.200000000000000,"0",96.937984499999999,373.146997899999974
20370000229,69108079@N07,,2016-10-06,2015-07-31,"1","6","5636",,Apple,iPhone 6 Plus,4.200000000000000,"0",75.925754060000003,374.552941200000021
20563198471,69108079@N07,,2016-10-06,2015-07-31,"1","6","5717",,Apple,iPhone 5s,4.200000000000000,"0",46.211290320000003,373.439114399999994
19934991363,69108079@N07,,2016-10-06,2015-07-31,"1","6","5723",,Apple,iPhone 6 Plus,4.200000000000000,"0",75.925754060000003,374.552941200000021
16877772026,25823827@N00,blue and green waters merge,2016-10-06,2015-03-21,"1","8","7585",,SONY,DSC-HX9V,4.300000000000000,"0",151.750000000000000,395.990000000000009
16902626981,25823827@N00,notice,2016-10-06,2015-03-21,"1","9","8731",,SONY,DSC-HX9V,8.900000000000000,"0",56.500000000000000,396.920000000000016
16903588925,25823827@N00,"bridges and trees, Geneva",2016-10-06,2015-03-20,"1","9","8684",,SONY,DSC-HX9V,4.300000000000000,"0",276.000000000000000,391.569999999999993
21291468244,13042951@N00,801europa,2016-10-06,2015-07-04,"1","1","615",,Apple,iPhone 4S,4.300000000000000,"0",228.543624200000011,432.000000000000000
21291435694,13042951@N00,842europa,2016-10-06,2015-07-05,"1","6","5720",,Apple,iPhone 4S,4.300000000000000,"0",64.073550209999993,433.000000000000000
21727295519,13042951@N00,843europa,2016-10-06,2015-07-05,"1","6","5656",,Apple,iPhone 4S,4.300000000000000,"0",280.242105299999992,433.000000000000000
21727294859,13042951@N00,844europa,2016-10-06,2015-07-05,"1","1","646",,Apple,iPhone 4S,4.300000000000000,"0",274.864197499999989,433.000000000000000
21291433904,13042951@N00,845europa,2016-10-06,2015-07-05,"1","6","5688",,Apple,iPhone 4S,4.300000000000000,"0",199.550505100000009,442.000000000000000
21293055063,13042951@N00,846europa,2016-10-06,2015-07-05,"1","6","5816",,Apple,iPhone 4S,4.300000000000000,"0",66.666243649999998,436.000000000000000
21291431544,13042951@N00,847europa,2016-10-06,2015-07-05,"1","1","776",,Apple,iPhone 4S,4.300000000000000,"0",38.314578009999998,436.000000000000000
21923877101,13042951@N00,848europa,2016-10-06,2015-07-05,"1","6","5667",,Apple,iPhone 4S,4.300000000000000,"0",170.428742499999998,433.191780800000004
21293053013,13042951@N00,849europa,2016-10-06,2015-07-05,"1","6","5775",,Apple,iPhone 4S,4.300000000000000,"0",226.037914699999988,433.202020199999993
21726326498,13042951@N00,850europa,2016-10-06,2015-07-05,"1","6","5789",,Apple,iPhone 4S,4.300000000000000,"0",188.206422000000003,433.202020199999993
21038638286,18786052@N00,,2016-10-06,2015-09-01,"1","1","703",,Apple,iPhone 5s,4.200000000000000,"0",185.519823800000012,433.323308300000008
21072515701,18786052@N00,,2016-10-06,2015-09-01,"1","6","5735",,Apple,iPhone 5s,4.200000000000000,"0",350.998087999999996,432.431192699999997
20876967468,18786052@N00,,2016-10-06,2015-09-01,"1","6","5811",,Apple,iPhone 5s,4.200000000000000,"0",180.995122000000009,434.671875000000000
20878078349,18786052@N00,,2016-10-06,2015-08-20,"1","6","5630",,Apple,iPhone 5s,4.200000000000000,"0",40.644808740000002,437.156342199999983
20880700086,97437142@N02,,2016-10-06,2015-06-15,"1","1","713",,Apple,iPhone 6 Plus,4.200000000000000,"0",55.608719049999998,437.917127100000016
20720217579,97437142@N02,,2016-10-06,2015-06-15,"1","6","5708",,Apple,iPhone 6 Plus,4.200000000000000,"0",29.892915980000001,440.838235300000008
20718921360,97437142@N02,,2016-10-06,2015-06-15,"1","6","5681",,Apple,iPhone 6 Plus,4.200000000000000,"0",159.449856699999998,437.318237500000009
20897249012,97437142@N02,,2016-10-06,2015-06-15,"1","1","577",,Apple,iPhone 6 Plus,4.200000000000000,"0",295.998691099999974,437.937500000000000
20906963245,97437142@N02,,2016-10-06,2015-06-15,"1","6","5818",,Apple,iPhone 6 Plus,4.200000000000000,"0",106.096000000000004,425.214046800000006
20906963135,97437142@N02,,2016-10-06,2015-06-15,"1","1","718",,Apple,iPhone 6 Plus,4.200000000000000,"0",359.378205100000002,414.640046299999995
20906959295,97437142@N02,,2016-10-06,2015-06-15,"1","1","606",,Apple,iPhone 6 Plus,4.200000000000000,"0",359.708737900000017,414.640046299999995
20718909270,97437142@N02,,2016-10-06,2015-06-15,"1","6","5793",,Apple,iPhone 6 Plus,2.700000000000000,"0",116.446969699999997,411.711764700000003
20906898855,97437142@N02,,2016-10-06,2015-06-15,"1","6","5685",,Apple,iPhone 6 Plus,4.200000000000000,"0",313.580246900000020,411.732142899999985
20914190831,97437142@N02,,2016-10-06,2015-06-15,"1","1","579",,Apple,iPhone 6 Plus,4.200000000000000,"0",264.682899200000008,411.861386100000004
20880613086,97437142@N02,,2016-10-06,2015-06-15,"1","6","5659",,Apple,iPhone 6 Plus,4.200000000000000,"0",265.989795899999990,411.861386100000004
20897171502,97437142@N02,,2016-10-06,2015-06-15,"1","6","5754",,Apple,iPhone 6 Plus,4.200000000000000,"0",269.225165600000025,411.487603299999989
20718835420,97437142@N02,,2016-10-06,2015-06-15,"1","6","5630",,Apple,iPhone 6 Plus,4.200000000000000,"0",291.374814800000024,412.219858199999976
20718927078,97437142@N02,,2016-10-06,2015-06-15,"1","1","656",,Apple,iPhone 6 Plus,4.200000000000000,"0",231.920689699999997,410.211382099999980
20906881215,97437142@N02,,2016-10-06,2015-06-15,"1","1","752",,Apple,iPhone 6 Plus,4.200000000000000,"0",238.771573600000011,410.186991900000010
20880606476,97437142@N02,,2016-10-06,2015-06-15,"1","6","5805",,Apple,iPhone 6 Plus,4.200000000000000,"0",179.819742499999990,411.484375000000000
16789714331,96055218@N03,IMG_2455,2016-10-06,2015-02-22,"1","8","7634",,Apple,iPhone 5s,4.200000000000000,"0",313.610619499999984,418.902857100000006
16789705651,96055218@N03,IMG_2452,2016-10-06,2015-02-22,"1","9","8682",,Apple,iPhone 5s,2.200000000000000,"0",126.231527099999994,418.902857100000006
16603255708,96055218@N03,IMG_2440,2016-10-06,2015-02-22,"1","8","7641",,Apple,iPhone 5s,4.200000000000000,"0",14.273910210000000,418.902857100000006
16764966416,96055218@N03,IMG_2435,2016-10-06,2015-02-22,"1","9","8649",,Apple,iPhone 5s,2.200000000000000,"0",202.224880399999989,418.902857100000006
25894282540,96474914@N05,,2016-10-06,2015-05-16,"1","2","1692",,Apple,iPhone 6,4.200000000000000,"0",161.424437299999994,403.000000000000000
25893937320,96474914@N05,,2016-10-06,2015-05-16,"1","2","1603",,Apple,iPhone 6,4.200000000000000,"0",162.268156400000009,403.000000000000000
26166264005,96474914@N05,,2016-10-06,2015-05-16,"1","2","1555",,Apple,iPhone 6,4.200000000000000,"0",187.570909099999994,403.000000000000000
26054774052,97901743@N08,IMG_1626,2016-10-06,2015-10-31,"1","2","1651",,Apple,iPhone 6,4.200000000000000,"0",12.524786320000000,361.865079400000013
25837916710,96474914@N05,,2016-10-06,2015-05-16,"1","2","1587",,Apple,iPhone 6,4.200000000000000,"0",189.605222700000013,403.000000000000000
22404844542,49948988@N03,Geneva,2016-10-06,2015-10-22,"1","6","5791",,Apple,iPhone 6 Plus,4.200000000000000,"0",144.623003199999999,376.666774799999985
22392043506,49948988@N03,Geneva,2016-10-06,2015-10-22,"1","6","5740",,Apple,iPhone 6 Plus,4.200000000000000,"0",69.687898090000004,373.264000000000010
22404838262,49948988@N03,Geneva,2016-10-06,2015-10-22,"1","1","638",,Apple,iPhone 6 Plus,4.200000000000000,"0",207.281938300000007,379.455223900000021
20035559596,103560756@N06,"NYC scarves I / ""drip drop droopy"" style",2016-10-06,2015-07-27,"1","1","345",,Apple,iPhone 5,4.100000000000000,"0",338.684615399999984,394.848920899999996
18834898039,127261636@N08,,2016-10-06,2015-05-02,"1","1","281",,Apple,iPhone 6,4.200000000000000,"0",253.979274599999997,402.956896599999993
23787877656,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-08,"1","1","711",,Apple,iPhone 6s,2.700000000000000,"0",175.192192199999994,375.173553700000014
23787877376,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-08,"1","1","765",,Apple,iPhone 6s,2.700000000000000,"0",222.528957499999990,381.963190199999985
23446012969,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-08,"1","1","735",,Apple,iPhone 6s,4.200000000000000,"0",318.065217399999995,369.915254199999993
23705551982,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-08,"1","1","764",,Apple,iPhone 6s,4.200000000000000,"0",291.833082699999977,371.649253699999974
23705551462,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-08,"1","6","5821",,Apple,iPhone 6s,4.200000000000000,"0",301.441666699999985,403.353846200000021
23731514441,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-08,"1","6","5696",,Apple,iPhone 6s,4.200000000000000,"0",37.360262010000000,379.035294099999987
23743232725,96818645@N04,,2016-10-06,2015-05-08,"1","6","5745",,Apple,iPhone 6,4.200000000000000,"0",238.713567799999993,415.499721399999999
23705545702,57615963@N06,Bâtiment des Forces Motrices for TEDGlobal>Geneva,2016-10-06,2015-12-08,"1","1","580",,Apple,iPhone 6s,4.200000000000000,"0",333.203703700000005,372.704545499999995
23187168523,57615963@N06,Bâtiment des Forces Motrices for TEDGlobal>Geneva,2016-10-06,2015-12-08,"1","1","601",,Apple,iPhone 6s,4.200000000000000,"0",340.517786600000022,374.071253099999979
23187168033,57615963@N06,Bâtiment des Forces Motrices for TEDGlobal>Geneva,2016-10-06,2015-12-08,"1","6","5672",,Apple,iPhone 6s,4.200000000000000,"0",16.590532540000002,374.793388400000026
23787864096,57615963@N06,Bâtiment des Forces Motrices for TEDGlobal>Geneva,2016-10-06,2015-12-08,"1","6","5808",,Apple,iPhone 6s,4.200000000000000,"0",10.587723790000000,399.369318200000009
23787862386,57615963@N06,Bâtiment des Forces Motrices for TEDGlobal>Geneva,2016-10-06,2015-12-08,"1","6","5729",,Apple,iPhone 6s,4.200000000000000,"0",283.478947399999981,370.046474400000022
23518273730,57615963@N06,Bâtiment des Forces Motrices for TEDGlobal>Geneva,2016-10-06,2015-12-08,"1","6","5756",,Apple,iPhone 6s,4.200000000000000,"0",289.233050800000001,371.132867099999999
23518270400,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-08,"1","6","5744",,Apple,iPhone 6s,4.200000000000000,"0",282.876237600000024,372.776271199999996
23705536752,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-08,"1","6","5701",,Apple,iPhone 6s,4.200000000000000,"0",196.655502399999989,405.873493999999994
22413279195,95746458@N04,,2016-10-06,2015-10-22,"1","1","758",,Apple,iPhone 4S,4.300000000000000,"0",236.408866999999987,412.380952400000012
23850275052,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-01,"1","2","1567",,Apple,iPhone 5s,2.200000000000000,"0",149.236514499999998,401.994818699999996
20720124429,97437142@N02,,2016-10-06,2015-06-15,"1","6","5694",,Apple,iPhone 6 Plus,4.200000000000000,"0",319.699797199999978,412.867187500000000
20897162752,97437142@N02,,2016-10-06,2015-06-15,"1","1","571",,Apple,iPhone 6 Plus,4.200000000000000,"0",351.423841100000004,416.035460999999998
20285852323,97437142@N02,,2016-10-06,2015-06-15,"1","1","768",,Apple,iPhone 6 Plus,4.200000000000000,"0",324.129771000000005,410.849940000000004
20718824400,97437142@N02,,2016-10-06,2015-06-15,"1","6","5678",,Apple,iPhone 6 Plus,4.200000000000000,"0",27.571227080000000,406.544943799999999
20284284274,97437142@N02,,2016-10-06,2015-06-15,"1","1","599",,Apple,iPhone 6 Plus,4.200000000000000,"0",354.625292699999989,408.962121200000013
20718820000,97437142@N02,,2016-10-06,2015-06-15,"1","6","5744",,Apple,iPhone 6 Plus,4.200000000000000,"0",25.698000000000000,406.544943799999999
27864836411,131571153@N07,,2016-10-06,2015-06-03,"1","8","7092",,Apple,iPhone 5s,4.100000000000000,"0",105.395683500000004,413.570881199999974
27327152863,131571153@N07,,2016-10-06,2015-06-03,"1","8","7440",,Apple,iPhone 5s,4.100000000000000,"0",310.406392700000026,416.001677900000004
27862097641,131571153@N07,,2016-10-06,2015-06-03,"1","8","7460",,Apple,iPhone 5s,4.100000000000000,"0",18.721495330000000,411.910569099999975
27938087025,131571153@N07,,2016-10-06,2015-06-03,"1","8","7326",,Apple,iPhone 5s,4.100000000000000,"0",139.902127699999994,423.077519400000028
23384073524,52786697@N00,GPL only zone,2016-10-06,2015-12-27,"1","6","5817",,Apple,iPhone 5s,4.200000000000000,"0",212.741984699999989,438.458404099999996
23939994775,96818645@N04,,2016-10-06,2015-05-08,"1","2","1665",,Apple,iPhone 6,4.200000000000000,"0",319.467661700000008,410.540540500000020
23445932609,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","1","709",,Apple,iPhone 6s,4.200000000000000,"0",156.752475199999992,411.670391100000018
23185767854,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","1","725",,Apple,iPhone 6s,4.200000000000000,"0",289.572164900000018,403.925867499999981
23445930659,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","6","5624",,Apple,iPhone 6s,4.200000000000000,"0",353.873417700000005,405.780141800000024
23116485703,96818645@N04,,2016-10-06,2015-05-08,"1","6","5821",,Apple,iPhone 6,4.200000000000000,"0",324.685897399999988,410.094736800000021
20936246911,103594294@N02,enfant et fenec,2016-10-06,2015-03-19,"1","6","5759",,Apple,iPhone 4S,4.300000000000000,"0",278.633766200000025,391.000000000000000
18104029626,125879049@N04,My Harley Davidson,2016-10-06,2015-05-25,"1","9","8849",,Apple,iPhone 5,4.100000000000000,"0",92.633251830000006,387.627906999999993
17944292239,125879049@N04,My Harley Davidson,2016-10-06,2015-05-25,"1","9","8836",,Apple,iPhone 5,4.100000000000000,"0",94.746136870000001,371.156424599999980
27327568444,131571153@N07,,2016-10-06,2015-06-03,"1","8","7318",,Apple,iPhone 5s,4.100000000000000,"0",213.142259400000000,451.259842499999991
25564530183,96474914@N05,,2016-10-06,2015-05-15,"1","2","1466",,Apple,iPhone 6,4.200000000000000,"0",217.861538499999995,413.415730300000007
25561585374,96474914@N05,,2016-10-06,2015-05-15,"1","2","1665",,Apple,iPhone 6,4.200000000000000,"0",104.215277799999996,418.830601100000024
26080909111,97901743@N08,IMG_1618,2016-10-06,2015-10-31,"1","2","1704",,Apple,iPhone 6,4.200000000000000,"0",94.135396520000000,375.473028999999997
23591071279,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-02,"1","6","5650",,Apple,iPhone 5s,4.100000000000000,"0",182.443438899999990,384.806629799999996
23958926895,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-02,"1","6","5768",,Apple,iPhone 5s,4.100000000000000,"0",73.581027669999997,387.320987699999989
23663266260,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-02,"1","2","1552",,Apple,iPhone 5s,4.100000000000000,"0",238.413407799999987,386.167701899999997
23932831626,8650698@N02,Genève 日內瓦,2016-10-06,2015-08-02,"1","6","5707",,Apple,iPhone 5s,4.100000000000000,"0",322.169642899999985,351.679012300000011
23705531052,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","6","5802",,Apple,iPhone 6s,4.200000000000000,"0",353.545563500000014,396.096491200000003
23185825484,57615963@N06,Faucet AND DRYER! TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","1","731",,Apple,iPhone 6s,4.200000000000000,"0",167.596000000000004,409.221556899999996
